자치구,안심 주소,용도,위도,경도,수량,데이터기준일자
양천구,서울특별시 양천구 신정동 신목로 58 ,방범,37.52075,126.873778,4,2021-01-29
양천구,서울특별시 양천구 신정동 은행정로5길 36 ,방범,37.52079,126.85559,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 212 ,방범,37.52081,126.84695,3,2021-01-29
양천구,서울특별시 양천구 신월동 지양로7길 24 이화주택,방범,37.52087,126.83061,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29나길 5 ,방범,37.52092852,126.8497317,4,2021-01-29
양천구,서울특별시 양천구 신정동 목동동로 165 양천세무서,방범,37.520931,126.870718,2,2021-01-29
양천구,서울특별시 양천구 신정동 은행정로5길 32 ,방범,37.520948,126.856913,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동서로 287 동문비젼오피스텔,방범,37.521061,126.868611,4,2021-01-29
양천구,서울특별시 양천구 신월동 지양로11길 13 ,방범,37.521066,126.83149,4,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로70길 9 이룸하우스,방범,37.5210934,126.83654,4,2021-01-29
양천구,서울특별시 양천구 신정동 신월로 362 ,방범,37.521101,126.8611519,4,2021-01-29
양천구,신정동 1296,방범,37.52110622,126.8722909,4,2021-01-29
양천구,서울특별시 양천구 신정동 신월로 332 ,방범,37.521125,126.858116,5,2021-01-29
양천구,신정동 312,방범,37.52114,126.86588,3,2021-01-29
양천구,서울특별시 양천구 신정동 신목로12길 13 ,방범,37.52116,126.875846,4,2021-01-29
양천구,서울특별시 양천구 신월동 지양로11길 9 ,방범,37.521244,126.832817,5,2021-01-29
양천구,서울특별시 양천구 신월동 오목로 28 미진아트빌,방범,37.52129,126.84299,4,2021-01-29
양천구,서울특별시 양천구 신정동 신월로 354 ,방범,37.521383,126.860567,3,2021-01-29
양천구,서울특별시 양천구 신월동 오목로 28 미진아트빌,방범,37.5214092,126.842628,2,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29길 108 대성유니드아파트,방범,37.5214218,126.8488081,1,2021-01-29
양천구,서울특별시 양천구 신정동 신월로 370 ,방범,37.5215944,126.862236,5,2021-01-29
양천구,서울특별시 양천구 신정동 신월로 268 양천소방서 신정119안전센터,방범,37.521653,126.850028,2,2021-01-29
양천구,서울특별시 양천구 신월동 지양로11길 16 대성주택,방범,37.52166,126.83051,4,2021-01-29
양천구,서울특별시 양천구 신정동 신월로 370 ,방범,37.521729,126.862301,1,2021-01-29
양천구,서울특별시 양천구 신정동 신목로12길 13 ,방범,37.521772,126.875609,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로27길 36 ,방범,37.5218027,126.8440748,3,2021-01-29
